molecule_id,smiles,mol_weight,logp,hbd,hba,source
DL_00297,CCN1C(N(C)C)=Nc2ccccc2C1CC(=O)NCc1ccccc1,350.46600000000007,3.3188000000000013,1,4,downloaded
DL_00298,O=C(O)[C@H]1C[C@@H](O)CCN1,145.15800000000002,-0.8161,3,3,downloaded
DL_00300,COC(=O)[C@H](CC(C)C)N1C(=O)[C@@H]2Cc3c([nH]c4ccccc34)CN2C1(C)C,383.49200000000013,3.0606000000000018,1,4,downloaded
DL_00302,O=C(/C=C/c1ccc(/C=N/OCc2ccccc2)cc1)NO,296.32599999999996,2.7558999999999996,2,4,downloaded
DL_00309,Cc1cc2c(c(=O)[nH]1)C(=O)O/C2=C\c1cc2ccccc2s1,309.346,3.5665200000000015,1,4,downloaded
DL_00310,CCN1CCN(CCCCOC(=O)c2cc(O)c3c(c2)C(=O)c2cccc(O)c2C3=O)CC1,452.5070000000003,2.4477,2,8,downloaded
DL_00312,COc1ccc([C@]2(C#N)C[C@H]3C[C@@H](C(=O)O)C[C@H]3C2)cc1OCC1CC1,355.4340000000002,3.766180000000002,1,4,downloaded
DL_00313,C#C[C@H]1CC[C@@H](C#N)N1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,327.42800000000017,1.1760799999999991,2,4,downloaded
DL_00315,Cc1ccc(C(N)=O)cc1Nc1ncnc2c1cnn2-c1ccccc1,344.3780000000001,2.966420000000001,2,6,downloaded
DL_00317,CC(C)C[C@@H](C(=O)O)N1C(=O)C(=C(c2ccccc2)c2ccccc2)SC1=S,411.54800000000006,4.8056000000000045,1,4,downloaded
DL_00322,COc1ccccc1N1CCN(CCCN2C(=O)C3Sc4ccccc4C3N(C)C2=O)CC1,466.60700000000014,3.316900000000002,0,6,downloaded
DL_00325,O=C(OCCCN1CCCCC1)c1cc(O)c2c(c1)C(=O)c1cccc(O)c1C2=O,409.43800000000016,2.906000000000002,2,7,downloaded
DL_00326,CC(C)OC(=O)C(C)CNC(=O)[C@H](N)CC(=O)O,260.28999999999996,-0.5076999999999983,3,5,downloaded
DL_00331,CN1CCN(c2ccc(Nc3ncc(C#N)c(Nc4ccccc4C(N)=O)n3)cc2)CC1,428.50000000000017,2.686180000000001,3,8,downloaded
DL_00335,COc1cnc(-c2ccc(O)c(O)c2)o1,207.18499999999997,1.7613999999999999,2,5,downloaded
DL_00341,c1csc(CNC23CC4CC(CC2C4)C3)c1,233.37999999999997,3.416400000000002,1,2,downloaded
DL_00344,Cc1cccc(OCc2cn(CCn3c([N+](=O)[O-])cnc3C)nn2)c1,342.35900000000004,2.2788399999999998,0,8,downloaded
DL_00356,N=C(N)NC(=O)c1nc(Cl)c(N2CCCCCC2)nc1N,311.777,0.7158699999999998,4,6,downloaded
DL_00360,Cc1ccc(Cl)c(S(=O)(=O)NC(CCC(N)=O)C(N)=O)c1,333.7970000000001,0.04612000000000027,3,4,downloaded
DL_00366,CCC[C@@H](COC(=O)CC)NC(=O)[C@H](N)CC(=O)O,274.317,0.026500000000001023,3,5,downloaded
DL_00367,CC(=O)/C=C(\O)c1cccnc1,163.176,1.5695,1,3,downloaded
DL_00368,CN(C/C=C/c1cccc(F)c1)Cc1cccc2cc[nH]c12,294.373,4.452200000000003,1,1,downloaded
DL_00369,Br.Oc1cc(C2CNCCc3c2cc(O)c(O)c3Cl)ccc1Cl,421.11800000000005,3.9657000000000027,4,4,downloaded
DL_00372,O=c1oc(-c2ccccc2F)cc2c1sc1ccccc12,296.322,4.813800000000002,0,3,downloaded
DL_00374,CC1CCN(C(=O)c2ccc(C#Cc3ccccc3)cc2)CC1,303.4050000000001,3.9585000000000026,0,1,downloaded
DL_00375,COc1cc(C(=O)N/N=C2\C(=O)Nc3c(Cl)cc(Cl)cc32)cc(OC)c1OC,424.2400000000002,3.1054000000000013,2,6,downloaded
DL_00377,CS/C=C(/C)n1c(C(=O)c2ccc(Br)cc2)noc1=O,355.2130000000001,3.0111000000000017,0,6,downloaded
DL_00383,C/C=C/C=C/C(=O)O[C@H]1CCCC[C@H](O)[C@H](O)[C@@H](CCC)OC1=O,340.4160000000001,2.0382,2,6,downloaded
DL_00384,Cn1cc(C2=C(c3coc4ccccc34)C(=O)NC2=O)c2ccc(O)cc21,358.3530000000001,3.197300000000001,2,5,downloaded
DL_00385,CCCCCOc1ccc(Oc2ccc(O)cc2)cc1,272.344,4.753500000000004,1,3,downloaded
DL_00386,COc1cc(-n2cc(C(C)=O)c3ccccc32)ccc1C(N)=O,308.3370000000001,2.9406000000000008,1,4,downloaded
DL_00394,CC(C)P(=O)(O)C1=CCC(N)C1,189.19499999999996,1.6702,2,2,downloaded
DL_00398,N#Cc1c(O)nc(N)nc1-c1ccccc1[N+](=O)[O-],257.209,1.21128,2,7,downloaded
DL_00407,CN(C)CCOc1cc(NC(=O)Nc2cccc([N+](=O)[O-])c2)ccc1I,470.26700000000005,3.783800000000002,2,5,downloaded
DL_00413,C/C=C/CCCC(C)/C(O)=C1\C(=O)[C@H]([C@H](C)O)N(C)C1=O,295.3790000000001,1.9714999999999998,2,4,downloaded
DL_00415,O=C(O)/C(O)=C/C(=O)c1ccnc2ccccc12,243.21800000000002,1.944,2,4,downloaded
DL_00416,C=CC[C@@H](OC(=O)C=C)c1ccc(C)c2ccccc12,266.34000000000003,4.494620000000004,0,2,downloaded
DL_00420,CC[C@H](C)[C@@H](CO)NS(=O)(=O)c1ccc(C(F)(F)F)cc1,325.352,2.3907,2,3,downloaded
DL_00427,O=C(O)CNC(=O)Sc1ccccn1,212.23000000000002,0.9679000000000001,2,4,downloaded
DL_00442,CCCC(=O)OC(Cn1ccnc1)c1ccc(Cl)cc1,292.766,3.621100000000003,0,4,downloaded
DL_00444,CC1=CC(C)(C)N=C(Nc2nc(C)c3cc(C)cc(C)c3n2)N1,309.41700000000003,3.6085600000000024,2,5,downloaded
DL_00445,O=c1ccc2ccc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc2o1,324.2850000000001,-1.0283000000000009,4,8,downloaded
DL_00447,C=C1C(=O)O[C@H]2/C=C(\C)CC/C=C(\C)C[C@H](O)[C@@H]12,248.32199999999995,2.5216000000000003,1,3,downloaded
DL_00449,NS(=O)(=O)c1ccc(C(=O)Oc2cncc(Cl)c2)cc1,312.734,1.6016000000000001,1,5,downloaded
DL_00466,COc1ccc(C(=O)C[n+]2c(C)n(Cc3c4c(cc5c3OCC5)OCC4)c3ccccc32)cc1,455.5340000000003,4.046820000000003,0,5,downloaded
DL_00472,N#CC1(c2ccccc2)CCN(CCCc2ccccc2)CC1,304.437,4.176580000000004,0,2,downloaded
DL_00474,O=C(O)c1n[nH]c2c1OCC2,154.12499999999997,0.04279999999999978,2,3,downloaded
DL_00480,Cc1nc2nc(N)nc(N)c2c(C)c1Cc1ccccc1Cl.Cl,350.253,3.472040000000002,2,5,downloaded
DL_00482,COCCn1cnc2c(O)nc(Nc3ccccc3)nc21,285.3070000000001,1.9218999999999997,2,7,downloaded
DL_00483,O=C(Nc1cccc(OC(F)F)c1)c1ccccn1,264.231,2.9353000000000007,1,3,downloaded
DL_00484,C[C@H](C(=O)NCCc1ccccc1O)c1cccc(Oc2ccccc2)c1,361.4410000000001,4.646900000000003,2,3,downloaded
DL_00488,COc1ccc2c(O)cc(OC)c(O)c2c1O,236.22299999999996,1.9738000000000007,3,5,downloaded
DL_00496,O=C(NCc1ccc(S(=O)(=O)O)cc1)C(CS)Cc1ccccc1,365.47600000000006,2.3382000000000005,3,4,downloaded
DL_00501,CCCC[C@H](CC)NC(=O)[C@H](N)CC(=O)O,230.30799999999996,0.8734000000000004,3,3,downloaded
DL_00507,COc1cc(O)cc2c1C(=O)CC(c1ccc(O)cc1)O2,286.283,2.812900000000001,2,5,downloaded
DL_00508,Nc1ncnc2c1ncn2CC(=O)c1cccnc1,254.253,0.6864000000000001,1,7,downloaded
DL_00514,C1=CC(CCNc2ncnc3[nH]cnc23)CCC1,243.31399999999996,2.5112000000000005,2,4,downloaded
DL_00517,N#Cc1c(N)nc(Sc2ccc(O)cc2)c(C#N)c1-c1ccc(Cl)cc1,378.84400000000005,4.584360000000002,2,6,downloaded
DL_00519,COc1cc(CNc2ccc(C(C)C)cc2)cc(OC)c1OC.Cl,351.8740000000001,4.869700000000005,1,4,downloaded
DL_00524,COc1ccc2c(c1)C(C)(CCCN(C)C)C(=O)N2C.O=C(O)C(=O)O,366.41400000000004,1.4266999999999994,2,5,downloaded
DL_00525,CCCCCCCCCCC1(O)CCOC(=O)C1,256.38599999999997,3.585300000000003,1,3,downloaded
DL_00526,COc1cc(-c2cc(N3CCOCC3)nc(N)n2)cc(OC)c1OC,346.38700000000006,1.5882,1,8,downloaded
DL_00527,COc1ccc2c(CCCN3CCC[C@@H](C)C3)cccc2c1.Cl,333.90299999999996,4.934700000000006,0,2,downloaded
DL_00530,CC/C=C/C=C/C=C/C=C/C=O,162.23199999999997,2.820100000000001,0,1,downloaded
DL_00532,O=c1ccc2nccc3c4c(O)cccc4n1c23,236.23000000000002,2.1442999999999994,1,4,downloaded
DL_00539,O=C1C(=O)N(Cc2ccc(Br)cc2)c2ccc(Cl)cc21,350.599,3.8320000000000016,0,2,downloaded
DL_00540,COc1ccc(C(CCN(C)CC(=O)O)Oc2ccc(C(F)(F)F)cc2)cc1,397.393,4.240600000000003,1,4,downloaded
DL_00545,NC(=O)Nc1sc(-c2ccc(CN3CCCCC3)cc2)cc1C(N)=O,358.4670000000001,2.990500000000001,3,4,downloaded
DL_00546,O=C(O)CCCc1ccc(Cn2ccc(=O)[nH]c2=O)cc1,288.303,0.9922,2,4,downloaded
DL_00549,CC(C)CNCC(C)(C)NCC(=O)N1C[C@@H](F)C[C@H]1C#N,298.406,1.0627800000000005,2,4,downloaded
DL_00553,COc1ccc(S(=O)(=O)n2cccc2)cc1,237.28000000000003,1.7337,0,4,downloaded
DL_00556,O=C1NC(NC2CC2)=N/C1=C\c1c[nH]c2ncccc12,267.29200000000003,1.1415999999999993,3,4,downloaded
DL_00560,O=C1c2cccc3c(-c4cc(=O)c5ccccc5o4)ccc(c23)C(=O)N1CCCCN1CCNCC1,481.5520000000004,3.8946000000000023,1,6,downloaded
DL_00566,CCCCCCOc1ccc(C(=O)CCN(C)C)c(N(C)C)c1,320.47700000000003,3.8461000000000025,0,4,downloaded
DL_00573,CN(C)C(=O)n1nnc(CCc2ccccc2)n1,245.286,0.9879999999999995,0,5,downloaded
DL_00578,COc1ccc(-c2nc3ccc(F)cc3o2)c(OC)c1,273.263,3.6511000000000022,0,4,downloaded
DL_00582,COc1cc2c(cc1OC)CN(CC1=NCCN1)CC2,275.35200000000003,1.0635999999999999,1,5,downloaded
DL_00586,CN1C2CCC1CC(OC1c3ccccc3CCc3ccccc31)C2,333.4750000000001,4.516400000000004,0,2,downloaded
DL_00591,CN(CCC(Cc1ccc(C(F)(F)F)cc1)c1ccccc1)CC(=O)O,365.39500000000004,4.438200000000004,1,2,downloaded
DL_00592,CC1(C)CCC[C@@]2(C)[C@H]1CCC1=CC(=O)[C@@]3(C)C[C@@]12CC3=O,300.44200000000006,4.4775000000000045,0,2,downloaded
DL_00593,O=C1CCCCCC1S(=O)(=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,388.329,4.399700000000003,0,3,downloaded
DL_00598,CC1(C)Oc2ccc([N+](=O)[O-])cc2[C@@H](N2CCCCCC2)[C@@H]1O.Cl,356.8500000000001,3.465600000000003,1,5,downloaded
DL_00599,Nc1ccc2nc(-c3ccc(F)cc3)oc2c1,228.226,3.216100000000001,1,3,downloaded
DL_00604,CC(C)(CO)NC(=O)Cn1cccc(NC(=O)c2ccccc2)c1=O,343.38300000000004,0.9876999999999992,3,5,downloaded
DL_00614,N[C@@H](C(=O)NCc1ccc(F)cc1)[C@@H](O)c1ccc([N+](=O)[O-])cc1,333.3190000000001,1.4109999999999998,3,5,downloaded
DL_00615,N[C@@H](CC(=O)O)C(=O)N1CCCC1,186.21099999999993,-0.5892000000000004,2,3,downloaded
DL_00616,O=C1NC(=O)c2ccc(I)cc2/C1=C/NCc1ccc(-c2ccoc2)c(O)c1,486.2650000000002,3.6575000000000015,3,5,downloaded
DL_00626,O=C1Nc2ccc(OC(F)(F)F)cc2/C1=N/NC(=S)NC1CCCCC1,386.39900000000017,3.0382000000000016,3,4,downloaded
DL_00629,CCOc1cc2c(cn1)[nH]c1ccccc12,212.252,3.1148000000000007,1,2,downloaded
DL_00636,O=C(c1ccccc1)c1nccc2ccccc12,233.26999999999998,3.4658000000000015,0,2,downloaded
DL_00637,O=C(NCCc1c[nH]c2ccc(O)cc12)c1ccc(O)cc1,296.326,2.5516000000000005,4,3,downloaded
DL_00646,O=C1C=CC[C@H]([C@@H](O)[C@H](Cl)c2ccccc2)O1,252.697,2.1990999999999996,1,3,downloaded
DL_00649,O=P(O)(O)C(CSc1ncc[nH]1)P(=O)(O)O,288.158,0.1832999999999999,5,4,downloaded
DL_00658,CCNc1ccc(NC(=N)N)cc1,178.23899999999998,1.42377,4,2,downloaded
DL_00659,CC(C)(C)C(N)C(=O)N1CCCC1C#N,209.29299999999995,0.8743799999999998,1,3,downloaded
DL_00660,Cn1nc(C(F)(F)F)c(Br)c1C(=O)Nc1ccc(S(=O)(=O)N2CCCC2)cc1,481.2940000000003,3.2382000000000017,1,5,downloaded
DL_00667,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1CCC[18F],287.277938,-0.9206000000000003,3,6,downloaded
DL_00673,CC1=CC(=O)[C@@H](O)[C@]2(C)[C@H]3[C@@H](O)[C@@H]4OC(=O)[C@@H](O)C[C@H]5[C@]4(C)OC[C@@]35[C@H](O)C[C@@H]12,408.44700000000023,-0.6779999999999999,4,8,downloaded
DL_00681,O=S(=O)(O)NS(=O)(=O)O,177.159,-1.8183999999999996,3,4,downloaded
